GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G86599","2010","US",,,,,,,,,,,,,,,"Tampa--St. Petersburg, FL Urbanized Area","86599",,,,,,,"40000US86599","Tampa--St. Petersburg, FL Urbanized Area",42872,"Tampa--St. Petersburg, FL Urbanized Area",973
"G87004","2010","US",,,,,,,,,,,,,,,"Temecula--Murrieta, CA Urbanized Area","87004",,,,,,,"40000US87004","Temecula--Murrieta, CA Urbanized Area",58168,"Temecula--Murrieta, CA Urbanized Area",3500
"G87058","2010","US",,,,,,,,,,,,,,,"Temple, TX Urbanized Area","87058",,,,,,,"40000US87058","Temple, TX Urbanized Area",49752,"Temple, TX Urbanized Area",5441
"G87139","2010","US",,,,,,,,,,,,,,,"Terre Haute, IN Urbanized Area","87139",,,,,,,"40000US87139","Terre Haute, IN Urbanized Area",34647,"Terre Haute, IN Urbanized Area",3915
"G87193","2010","US",,,,,,,,,,,,,,,"Texarkana, TX--Texarkana, AR Urbanized Area","87193",,,,,,,"40000US87193","Texarkana, TX--Texarkana, AR Urbanized Area",35903,"Texarkana, TX--Texarkana, AR Urbanized Area",4190
"G87220","2010","US",,,,,,,,,,,,,,,"Texas City, TX Urbanized Area","87220",,,,,,,"40000US87220","Texas City, TX Urbanized Area",45998,"Texas City, TX Urbanized Area",4754
"G87328","2010","US",,,,,,,,,,,,,,,"The Woodlands, TX Urbanized Area","87328",,,,,,,"40000US87328","The Woodlands, TX Urbanized Area",73193,"The Woodlands, TX Urbanized Area",5374
"G87490","2010","US",,,,,,,,,,,,,,,"Thousand Oaks, CA Urbanized Area","87490",,,,,,,"40000US87490","Thousand Oaks, CA Urbanized Area",94314,"Thousand Oaks, CA Urbanized Area",5653
"G87868","2010","US",,,,,,,,,,,,,,,"Toledo, OH--MI Urbanized Area","87868",,,,,,,"40000US87868","Toledo, OH--MI Urbanized Area",40058,"Toledo, OH--MI Urbanized Area",1454
"G88084","2010","US",,,,,,,,,,,,,,,"Topeka, KS Urbanized Area","88084",,,,,,,"40000US88084","Topeka, KS Urbanized Area",40010,"Topeka, KS Urbanized Area",3511
